ID,Gene Symbol,RefSeq Transcript ID,Chromosome,DS_Cerebellum_1218,DS_Cerebellum_1389,DS_Cerebellum_1478,DS_Cerebrum_1218,DS_Cerebrum_1389,DS_Cerebrum_1478,DS_Cerebrum_847,Normal-Cerebellum-1390,Normal-Cerebellum-1411,Normal-Cerebellum-1521,Normal-Cerebrum-1390,Normal-Cerebrum-1411,Normal-Cerebrum-1521,Normal-Cerebrum-1565,,,,,,,,,,,,,,
220832_at,TLR8,NM_016610 /// NM_138636,X,29.45947994,37.09955024,30.07452422,28.10159492,30.00373417,26.70336736,25.77624419,29.54945944,31.10382577,33.72414167,45.10452146,32.49261363,29.57323122,27.17748262,,,,,,,,,,,,,,
220793_at,SAGE1,NM_018666,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220738_s_at,RPS6KA6,NM_014496,X,35.95248961,37.98163361,37.93058724,34.16625142,37.18580374,34.79697866,37.99269497,35.89000397,31.91405394,34.37147544,42.10297234,46.2489958,35.89000397,37.19663332,,,,,,,,,,,,,,
220737_at,RPS6KA6,NM_014496,X,31.89415573,39.11039521,36.04381899,30.14841074,30.24322324,32.19021187,30.23672657,30.37052882,28.8590072,30.22561552,34.74395331,34.84839175,31.89415573,29.62800929,,,,,,,,,,,,,,
220685_at,CXorf17,NM_017848,X,33.50071885,41.63197441,30.22603511,35.03900476,37.33507679,33.41676104,36.1286091,38.70854036,36.41876821,44.28911232,41.51871774,41.92328636,36.18123629,37.82636222,,,,,,,,,,,,,,
220665_at,LUZP4,NM_016383,X,142.3333625,148.4167424,138.2791837,137.8647697,128.038166,128.8278083,122.2736711,131.559339,140.8396649,146.7513396,161.8978643,173.7657556,136.6545717,142.3718495,,,,,,,,,,,,,,
220663_at,IL1RAPL1,NM_014271,X,43.58681421,47.44025614,44.27283745,42.56925174,42.83980003,39.38706996,64.29032809,46.24674879,45.97571062,41.67700814,41.74467078,48.25243268,41.25022681,38.78508498,,,,,,,,,,,,,,
220594_at,OGT,NM_003605 /// NM_181672 /// NM_181673,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220591_s_at,EFHC2,NM_025184,X,26.39129261,29.43968175,26.59623279,22.53319417,20.20275504,19.01439459,23.43836203,24.8742305,22.10973694,24.95609374,24.68324468,24.63896874,19.04539036,21.04856405,,,,,,,,,,,,,,
220556_at,ATP1B4,NM_012069,X,13.49431735,14.80692384,12.61624006,12.46136318,12.86429162,12.26427452,13.38448806,13.37475035,13.49431735,12.82520615,14.65895054,15.98381544,14.09019929,14.82099086,,,,,,,,,,,,,,
220552_at,TRPC5,NM_012471,X,12.91333682,15.42138115,13.51828275,13.72895593,12.61667582,13.39581118,14.10778836,12.81329807,13.67122009,12.97290702,16.76022802,15.358335,13.83010386,13.3306019,,,,,,,,,,,,,,
220537_at,MTMR8,NM_017677,X,22.33880523,31.0303873,21.92310191,20.31818826,17.71905979,19.84481112,17.9787404,23.38967749,19.63846074,24.07526751,25.20416156,22.92087117,22.39042295,19.71552188,,,,,,,,,,,,,,
220523_at,EFHC2,NM_025184,X,13.10077304,15.62527917,15.50218922,13.0434176,12.35214691,12.83480888,13.30069667,14.05206302,12.41033417,13.24054028,13.82665311,12.23464231,13.93701711,13.13040886,,,,,,,,,,,,,,
220520_s_at,FLJ20130,NM_017681,X,17.64820964,17.47063501,16.32431121,14.19538331,13.56878753,14.83517422,14.76869029,18.8847535,17.47002871,15.97506664,16.019531,17.45187263,14.79707313,15.75087434,,,,,,,,,,,,,,
220515_at,DUSP21,NM_022076,X,40.82610207,47.82423388,44.81904848,45.93334902,42.14705283,39.98785003,43.69116808,46.54002331,40.71250787,46.24739078,40.89039651,56.03241888,46.92646945,43.87508134,,,,,,,,,,,,,,
220486_x_at,RP13-360B22.2,NM_032227,X,138.3731369,139.0365054,150.480205,111.7111884,111.1627616,99.32396292,141.8487914,150.35512,142.7354481,156.6662012,161.7778319,118.462771,112.6075538,117.2772829,,,,,,,,,,,,,,
